Primary_Category_Alt,Name,price_range_description,Price,Discount,Description,upload_date_time,Status,Inventory_Level,Reorder_Point,Lead_Time_Days,Supplier,Last_Restock_Date,Discount_Percentage,Total_Revenue,Demand,date,week,lag_1,rolling_mean
Shoes,Bags,Low,7.470435133,26.65612791,Bags in Shoes category,07:21.7,Out of Stock,296,58,30,Supplier_1,07:21.7,26.65612791,1621.815491,296,4/9/2023,14,0,0
Accessories,Sneakers,High,173.8659214,29.44873059,Sneakers in Accessories category,07:21.7,Out of Stock,82,95,23,Supplier_3,07:21.7,29.44873059,4783.919971,39,2/11/2022,6,0,0
Men,Sneakers,High,115.2259018,28.5873088,Sneakers in Men category,07:21.7,Out of Stock,387,52,12,Supplier_4,07:21.7,28.5873088,28306.3556,344,7/7/2021,27,0,0
Home,Shirt,Medium,49.48426508,36.46124864,Shirt in Home category,07:21.7,Out of Stock,266,43,6,Supplier_3,07:21.7,36.46124864,8363.487984,266,7/11/2022,28,0,0
Home,Shirt,High,109.4976844,12.19794194,Shirt in Home category,07:21.7,Available,17,24,3,Supplier_2,07:21.7,12.19794194,576.8473227,6,2/26/2022,8,0,0
Shoes,Dress,Premium,233.6274725,43.58567413,Dress in Shoes category,07:21.7,Out of Stock,1,89,23,Supplier_8,07:21.7,43.58567413,131.7993637,1,2/14/2022,7,0,0
Kids,Bags,High,191.691418,40.60696794,Bags in Kids category,07:21.7,Available,407,70,20,Supplier_5,07:21.7,40.60696794,4895.607851,43,12/17/2021,50,0,0
Shoes,Jeans,Low,20.5194912,21.24293279,Jeans in Shoes category,07:21.7,Out of Stock,405,53,13,Supplier_4,07:21.7,21.24293279,630.2614294,39,12/14/2023,50,0,0
Home,Sneakers,High,148.8116781,44.24764335,Sneakers in Home category,07:21.7,Available,249,63,25,Supplier_6,07:21.7,44.24764335,9043.295908,109,6/10/2022,23,0,0
Kids,Shirt,High,199.9174021,16.22515617,Shirt in Kids category,07:21.7,Available,357,62,21,Supplier_3,07:21.7,16.22515617,4521.973269,27,8/9/2024,32,0,0
Accessories,Sneakers,Medium,64.37170998,14.95459778,Sneakers in Accessories category,07:21.7,Out of Stock,97,82,25,Supplier_2,07:21.7,14.95459778,5310.282428,97,4/26/2024,17,0,0
Shoes,Jeans,Medium,87.63343466,21.37168556,Jeans in Shoes category,07:21.7,Available,378,37,30,Supplier_10,07:21.7,21.37168556,23014.16731,334,3/3/2024,9,0,0
Home,Jacket,High,152.6357521,30.61253799,Jacket in Home category,07:21.7,Available,361,68,19,Supplier_6,07:21.7,30.61253799,2859.572012,27,3/14/2023,11,0,0
Shoes,Jacket,Medium,58.07863163,42.46938212,Jacket in Shoes category,07:21.7,Out of Stock,399,60,11,Supplier_1,07:21.7,42.46938212,4878.297362,146,5/25/2024,21,0,0
Kids,Jacket,High,133.2883687,15.87278611,Jacket in Kids category,07:21.7,Available,42,26,9,Supplier_4,07:21.7,15.87278611,4709.535224,42,9/8/2022,36,0,0
Home,Jacket,High,121.4342685,15.49709789,Jacket in Home category,07:21.7,Available,203,24,5,Supplier_2,07:21.7,15.49709789,20830.94265,203,11/7/2020,45,0,0
Men,Jacket,Medium,64.97585542,11.16826027,Jacket in Men category,07:21.7,Out of Stock,259,36,3,Supplier_8,07:21.7,11.16826027,14949.26834,259,12/5/2022,49,0,0
Men,Jeans,Premium,341.073931,40.4846569,Jeans in Men category,07:21.7,Available,385,100,16,Supplier_9,07:21.7,40.4846569,55010.64779,271,4/17/2022,15,0,0
Accessories,Jeans,Low,12.22389122,39.15668971,Jeans in Accessories category,07:21.7,Available,138,82,15,Supplier_7,07:21.7,39.15668971,728.8671662,98,11/28/2022,48,0,0
Shoes,Jeans,Premium,372.3093995,49.5395944,Jeans in Shoes category,07:21.7,Available,189,17,24,Supplier_8,07:21.7,49.5395944,22732.1288,121,8/21/2022,33,0,0
Men,Sneakers,High,109.8324813,36.51202373,Sneakers in Men category,07:21.7,Out of Stock,171,46,18,Supplier_6,07:21.7,36.51202373,11366.05841,163,6/16/2024,24,0,0
Kids,Dress,Low,22.38460908,18.42690003,Dress in Kids category,07:21.7,Available,2,30,9,Supplier_10,07:21.7,18.42690003,36.51963908,2,9/30/2020,40,0,0
Kids,Dress,Low,14.36860908,32.14569826,Dress in Kids category,07:21.7,Available,98,89,9,Supplier_9,07:21.7,32.14569826,867.7250231,89,12/8/2022,49,0,0
Women,Bags,Medium,85.97040392,47.22667864,Bags in Women category,07:21.7,Out of Stock,439,25,10,Supplier_8,07:21.7,47.22667864,12204.3787,269,10/1/2022,39,0,0
Home,Shirt,Medium,42.18732467,29.05231911,Shirt in Home category,07:21.7,Available,445,49,17,Supplier_2,07:21.7,29.05231911,7991.557906,267,10/14/2022,41,0,0
Men,Sneakers,Premium,208.6615282,17.12084963,Sneakers in Men category,07:21.7,Out of Stock,390,77,13,Supplier_7,07:21.7,17.12084963,41158.98261,238,4/28/2022,17,0,0
Accessories,Jacket,Premium,446.438607,12.05774748,Jacket in Accessories category,07:21.7,Out of Stock,207,48,30,Supplier_8,07:21.7,12.05774748,75380.76809,192,3/28/2023,13,0,0
Shoes,Jacket,Low,5.205705028,14.06935979,Jacket in Shoes category,07:21.7,Out of Stock,204,87,24,Supplier_8,07:21.7,14.06935979,912.5523142,204,7/31/2021,30,0,0
Women,Jacket,Low,13.09385242,18.98264447,Jacket in Women category,07:21.7,Out of Stock,251,99,11,Supplier_6,07:21.7,18.98264447,1930.709319,182,11/6/2021,44,0,0
Shoes,Sneakers,Premium,476.6522186,31.69589031,Sneakers in Shoes category,07:21.7,Out of Stock,181,89,28,Supplier_10,07:21.7,31.69589031,11720.62995,36,9/28/2024,39,0,0
Accessories,Dress,Premium,288.1163369,8.070605666,Dress in Accessories category,07:21.7,Out of Stock,207,49,15,Supplier_8,07:21.7,8.070605666,39464.67692,149,11/18/2022,46,0,0
Kids,Bags,Premium,238.0106375,24.19659904,Bags in Kids category,07:21.7,Out of Stock,102,35,10,Supplier_9,07:21.7,24.19659904,18402.8561,102,4/19/2022,16,0,0
Home,Sneakers,Premium,229.2280344,7.723272899,Sneakers in Home category,07:21.7,Out of Stock,366,70,2,Supplier_7,07:21.7,7.723272899,59015.23163,279,11/28/2023,48,0,0
Shoes,Jeans,Medium,74.73080588,41.4817996,Jeans in Shoes category,07:21.7,Available,458,38,23,Supplier_3,07:21.7,41.4817996,5072.810239,116,9/25/2023,39,0,0
Shoes,Jacket,Premium,221.1140524,38.70016825,Jacket in Shoes category,07:21.7,Out of Stock,441,80,5,Supplier_3,07:21.7,38.70016825,18975.9559,140,1/24/2021,3,0,0
Men,Shirt,High,148.6355403,44.94325703,Shirt in Men category,07:21.7,Available,125,71,17,Supplier_8,07:21.7,44.94325703,10229.23592,125,3/12/2023,10,0,0
Shoes,Bags,Medium,52.31586804,8.131269235,Bags in Shoes category,07:21.7,Available,330,31,13,Supplier_2,07:21.7,8.131269235,15860.43491,330,7/19/2023,29,0,0
Men,Dress,High,168.174935,34.50329431,Dress in Men category,07:21.7,Available,151,81,11,Supplier_2,07:21.7,34.50329431,8481.476249,77,6/9/2022,23,0,0
Men,Jacket,Low,19.99224609,48.67016171,Jacket in Men category,07:21.7,Available,105,64,2,Supplier_8,07:21.7,48.67016171,882.5309327,86,9/7/2024,36,0,0
Shoes,Jacket,Low,22.52423859,27.56748564,Jacket in Shoes category,07:21.7,Available,86,68,14,Supplier_7,07:21.7,27.56748564,701.5395112,43,11/11/2021,45,0,0
Men,Jacket,Low,19.64735298,20.72996361,Jacket in Men category,07:21.7,Out of Stock,321,74,8,Supplier_10,07:21.7,20.72996361,327.063741,21,12/24/2020,52,0,0
Shoes,Dress,Medium,94.83882708,41.94613565,Dress in Shoes category,07:21.7,Out of Stock,60,39,4,Supplier_6,07:21.7,41.94613565,3303.456241,60,5/18/2024,20,0,0
Accessories,Jacket,Premium,484.9137957,20.00007533,Jacket in Accessories category,07:21.7,Available,204,70,29,Supplier_9,07:21.7,20.00007533,79137.85694,204,12/26/2021,51,0,0
Accessories,Jacket,Low,25.65243579,48.34882825,Jacket in Accessories category,07:21.7,Available,145,37,5,Supplier_1,07:21.7,48.34882825,675.7389672,51,11/23/2020,48,0,0
Accessories,Jeans,High,183.7280264,26.84107211,Jeans in Accessories category,07:21.7,Out of Stock,220,91,30,Supplier_9,07:21.7,26.84107211,18549.0567,138,6/26/2024,26,0,0
Women,Dress,Medium,40.8946466,43.56531723,Dress in Women category,07:21.7,Available,267,93,30,Supplier_3,07:21.7,43.56531723,3346.420791,145,5/10/2023,19,0,0
Accessories,Jeans,Premium,450.2182993,31.83914007,Jeans in Accessories category,07:21.7,Available,481,71,28,Supplier_3,07:21.7,31.83914007,29152.90312,95,9/7/2021,36,0,0
Women,Sneakers,High,103.56275,22.01543581,Sneakers in Women category,07:21.7,Out of Stock,234,79,26,Supplier_6,07:21.7,22.01543581,17040.98441,211,12/20/2021,51,0,0
Home,Bags,Low,25.51603841,42.61039147,Bags in Home category,07:21.7,Out of Stock,257,29,14,Supplier_2,07:21.7,42.61039147,2269.750956,155,2/25/2024,8,0,0
Shoes,Bags,Low,26.2845757,44.59859615,Bags in Shoes category,07:21.7,Out of Stock,295,31,27,Supplier_7,07:21.7,44.59859615,2271.675734,156,3/2/2023,9,0,0
Women,Dress,Premium,211.2083534,43.62424418,Dress in Women category,07:21.7,Available,187,35,29,Supplier_5,07:21.7,43.62424418,22266.14715,187,2/17/2024,7,0,0
Kids,Sneakers,Low,9.419206714,16.04875711,Sneakers in Kids category,07:21.7,Out of Stock,258,66,14,Supplier_8,07:21.7,16.04875711,2040.145606,258,9/10/2021,36,0,0
Kids,Bags,High,174.9962827,5.936409463,Bags in Kids category,07:21.7,Available,22,19,16,Supplier_1,07:21.7,5.936409463,3621.37131,22,6/17/2021,24,0,0
Home,Dress,High,137.8665134,31.49039275,Dress in Home category,07:21.7,Available,163,27,30,Supplier_8,07:21.7,31.49039275,9822.987915,104,7/10/2021,27,0,0
Home,Jacket,Premium,282.8314852,12.71476486,Jacket in Home category,07:21.7,Out of Stock,438,65,17,Supplier_3,07:21.7,12.71476486,30118.15549,122,12/13/2020,50,0,0
Kids,Bags,Low,24.71228081,26.74512862,Bags in Kids category,07:21.7,Out of Stock,488,96,7,Supplier_10,07:21.7,26.74512862,3222.325015,178,1/30/2024,5,0,0
Men,Bags,Premium,200.8193732,27.89630387,Bags in Men category,07:21.7,Out of Stock,21,68,24,Supplier_9,07:21.7,27.89630387,1592.780097,11,3/3/2024,9,0,0
Accessories,Bags,Low,7.874859212,20.71177703,Bags in Accessories category,07:21.7,Out of Stock,27,27,16,Supplier_10,07:21.7,20.71177703,143.6082264,23,11/9/2020,46,0,0
Accessories,Shirt,Medium,95.18568017,9.629943046,Shirt in Accessories category,07:21.7,Available,101,73,6,Supplier_1,07:21.7,9.629943046,8687.954692,101,10/12/2020,42,0,0
Kids,Shirt,Premium,284.7440118,33.52996623,Shirt in Kids category,07:21.7,Available,275,76,23,Supplier_1,07:21.7,33.52996623,20251.83017,107,11/17/2021,46,0,0
Shoes,Jacket,Low,5.886709008,14.48053355,Jacket in Shoes category,07:21.7,Out of Stock,164,84,24,Supplier_6,07:21.7,14.48053355,825.6222701,164,4/22/2024,17,0,0
Accessories,Jeans,Premium,200.9477519,17.94819388,Jeans in Accessories category,07:21.7,Available,351,60,4,Supplier_9,07:21.7,17.94819388,49299.49668,299,9/15/2022,37,0,0
Kids,Shirt,High,134.3948873,25.81487393,Shirt in Kids category,07:21.7,Out of Stock,133,44,4,Supplier_1,07:21.7,25.81487393,13260.23521,133,5/25/2022,21,0,0
Women,Jeans,High,101.847878,44.04712705,Jeans in Women category,07:21.7,Out of Stock,3,81,17,Supplier_2,07:21.7,44.04712705,170.9604414,3,6/19/2024,25,0,0
Accessories,Dress,High,104.836294,30.56036228,Dress in Accessories category,07:21.7,Out of Stock,57,88,26,Supplier_1,07:21.7,30.56036228,727.9794274,10,7/28/2022,30,0,0
Shoes,Jeans,Medium,53.75761791,10.84531473,Jeans in Shoes category,07:21.7,Out of Stock,67,15,21,Supplier_7,07:21.7,10.84531473,3211.138149,67,6/19/2023,25,0,0
Accessories,Shirt,Low,29.55732932,38.37812825,Shirt in Accessories category,07:21.7,Out of Stock,228,22,20,Supplier_5,07:21.7,38.37812825,3624.542134,199,4/9/2022,14,0,0
Home,Jacket,Medium,97.60896953,28.60984995,Jacket in Home category,07:21.7,Available,220,81,18,Supplier_4,07:21.7,28.60984995,10104.06252,145,11/27/2023,48,0,0
Accessories,Dress,Premium,381.1143102,9.453478204,Dress in Accessories category,07:21.7,Out of Stock,376,98,23,Supplier_10,07:21.7,9.453478204,43480.80474,126,5/1/2022,17,0,0
Kids,Shirt,Low,23.62859403,38.32937098,Shirt in Kids category,07:21.7,Available,162,15,24,Supplier_5,07:21.7,38.32937098,2360.648216,162,6/30/2022,26,0,0
Women,Jeans,High,163.4088573,7.888698576,Jeans in Women category,07:21.7,Available,434,85,29,Supplier_9,07:21.7,7.888698576,37930.54233,252,3/4/2023,9,0,0
Shoes,Sneakers,Low,11.18360807,5.43585726,Sneakers in Shoes category,07:21.7,Available,246,49,11,Supplier_7,07:21.7,5.43585726,623.9653027,59,10/17/2021,41,0,0
Home,Shirt,Medium,70.61286545,33.85546639,Shirt in Home category,07:21.7,Out of Stock,372,70,1,Supplier_1,07:21.7,33.85546639,1588.022718,34,1/23/2023,4,0,0
Shoes,Jeans,Medium,70.3078937,49.28883056,Jeans in Shoes category,07:21.7,Available,9,21,8,Supplier_5,07:21.7,49.28883056,320.8855959,9,6/17/2024,25,0,0
Men,Jeans,Medium,31.06153204,8.549929242,Jeans in Men category,07:21.7,Out of Stock,102,80,26,Supplier_7,07:21.7,8.549929242,2897.390889,102,6/30/2024,26,0,0
Home,Sneakers,Medium,53.69313479,43.82703348,Sneakers in Home category,07:21.7,Out of Stock,154,63,22,Supplier_2,07:21.7,43.82703348,4644.798101,154,3/7/2023,10,0,0
Accessories,Dress,Medium,36.631011,38.37017572,Dress in Accessories category,07:21.7,Out of Stock,270,62,15,Supplier_6,07:21.7,38.37017572,5147.243118,228,10/15/2021,41,0,0
Kids,Jacket,Low,17.78661815,16.18238681,Jacket in Kids category,07:21.7,Out of Stock,496,95,14,Supplier_8,07:21.7,16.18238681,3503.454917,235,2/8/2021,6,0,0
Men,Jacket,Premium,472.6556313,14.27068797,Jacket in Men category,07:21.7,Available,335,69,26,Supplier_10,07:21.7,14.27068797,17423.7901,43,8/13/2021,32,0,0
Kids,Jeans,High,187.08539,44.97697305,Jeans in Kids category,07:21.7,Available,144,72,26,Supplier_8,07:21.7,44.97697305,14823.36642,144,11/25/2023,47,0,0
Kids,Bags,Medium,86.50757927,23.33702988,Bags in Kids category,07:21.7,Available,477,68,20,Supplier_8,07:21.7,23.33702988,2652.771186,40,8/20/2021,33,0,0
Shoes,Dress,High,177.4825295,48.07638604,Dress in Shoes category,07:21.7,Out of Stock,275,56,26,Supplier_2,07:21.7,48.07638604,3962.679769,43,5/31/2023,22,0,0
Accessories,Shirt,High,124.4502071,33.64967973,Shirt in Accessories category,07:21.7,Out of Stock,412,63,4,Supplier_1,07:21.7,33.64967973,24524.21396,297,1/1/2021,53,0,0
Kids,Jacket,Medium,62.27945805,32.94526428,Jacket in Kids category,07:21.7,Out of Stock,158,93,10,Supplier_10,07:21.7,32.94526428,6305.960227,151,12/18/2021,50,0,0
Women,Dress,Medium,72.83345728,19.58861198,Dress in Women category,07:21.7,Out of Stock,38,21,3,Supplier_7,07:21.7,19.58861198,2225.52297,38,10/18/2021,42,0,0
Women,Bags,High,166.5711859,21.52099397,Bags in Women category,07:21.7,Available,378,96,12,Supplier_3,07:21.7,21.52099397,37125.44874,284,2/9/2021,6,0,0
Women,Sneakers,Premium,453.2801145,46.74069068,Sneakers in Women category,07:21.7,Out of Stock,282,75,6,Supplier_4,07:21.7,46.74069068,50696.91024,210,12/28/2020,53,0,0
Shoes,Sneakers,High,138.725637,10.74356654,Sneakers in Shoes category,07:21.7,Out of Stock,156,24,16,Supplier_7,07:21.7,10.74356654,19316.16272,156,12/26/2021,51,0,0
Men,Bags,High,145.4722782,33.22931277,Bags in Men category,07:21.7,Out of Stock,400,24,14,Supplier_5,07:21.7,33.22931277,16998.24697,175,12/30/2021,52,0,0
Accessories,Jacket,Premium,431.0630161,26.62965173,Jacket in Accessories category,07:21.7,Out of Stock,302,39,5,Supplier_1,07:21.7,26.62965173,35106.24042,111,4/13/2021,15,97,0
Shoes,Dress,Premium,369.7252149,48.01586729,Dress in Shoes category,07:21.7,Out of Stock,100,30,14,Supplier_3,07:21.7,48.01586729,10570.91455,55,2/25/2023,8,0,0
Kids,Bags,High,126.7500674,24.46319996,Bags in Kids category,07:21.7,Out of Stock,64,10,27,Supplier_5,07:21.7,24.46319996,6127.548477,64,8/18/2024,33,0,0
Accessories,Dress,Medium,92.13835925,31.10596972,Dress in Accessories category,07:21.7,Out of Stock,177,83,25,Supplier_6,07:21.7,31.10596972,11235.57576,177,4/12/2022,15,0,0
Men,Jeans,Medium,91.00901595,15.09355582,Jeans in Men category,07:21.7,Available,471,98,17,Supplier_3,07:21.7,15.09355582,21481.76037,278,2/7/2022,6,0,0
Shoes,Sneakers,Low,16.36998094,41.40724348,Sneakers in Shoes category,07:21.7,Available,20,93,7,Supplier_1,07:21.7,41.40724348,191.8324615,20,9/19/2024,38,0,0
Kids,Sneakers,Premium,283.2649629,27.15308903,Sneakers in Kids category,07:21.7,Available,126,87,25,Supplier_10,07:21.7,27.15308903,26000.07169,126,8/11/2022,32,0,0
Women,Sneakers,High,162.1792598,9.045787188,Sneakers in Women category,07:21.7,Out of Stock,271,58,6,Supplier_1,07:21.7,9.045787188,39384.86805,267,6/18/2021,24,0,0
Kids,Jeans,Premium,250.7119645,47.86798661,Jeans in Kids category,07:21.7,Out of Stock,42,37,13,Supplier_10,07:21.7,47.86798661,5489.450186,42,5/1/2024,18,0,0
Women,Shirt,Medium,60.29115916,35.77862574,Shirt in Women category,07:21.7,Available,423,96,5,Supplier_1,07:21.7,35.77862574,12119.30083,313,6/17/2021,24,0,0
Men,Jacket,Premium,373.0082313,44.86315494,Jacket in Men category,07:21.7,Available,165,56,15,Supplier_1,07:21.7,44.86315494,33934.72014,165,7/7/2024,27,0,0
Women,Bags,Low,27.53635966,33.01484721,Bags in Women category,07:21.7,Available,235,37,29,Supplier_3,07:21.7,33.01484721,1051.380538,57,8/13/2023,32,0,0
Women,Bags,High,144.0178819,30.15290121,Bags in Women category,07:21.7,Available,331,51,27,Supplier_8,07:21.7,30.15290121,28769.4013,286,9/19/2024,38,0,0
Men,Dress,Premium,462.6516892,39.88895091,Dress in Men category,07:21.7,Out of Stock,67,74,17,Supplier_4,07:21.7,39.88895091,7508.829168,27,5/4/2022,18,0,0
Kids,Shirt,Premium,330.3672112,30.98896068,Shirt in Kids category,07:21.7,Available,334,35,17,Supplier_10,07:21.7,30.98896068,64977.10611,285,10/19/2023,42,0,0
Shoes,Shirt,High,197.0749147,45.02885319,Shirt in Shoes category,07:21.7,Available,284,84,6,Supplier_1,07:21.7,45.02885319,22425.20852,207,8/5/2023,31,0,0
Accessories,Bags,Medium,80.29289391,25.28442434,Bags in Accessories category,07:21.7,Available,125,66,22,Supplier_8,07:21.7,25.28442434,1919.721533,32,3/20/2022,11,0,0
Men,Bags,Medium,86.59878499,27.04137282,Bags in Men category,07:21.7,Available,439,93,2,Supplier_8,07:21.7,27.04137282,1137.263124,18,11/25/2023,47,0,0
Shoes,Jacket,High,149.511237,8.680132651,Jacket in Shoes category,07:21.7,Out of Stock,382,92,18,Supplier_4,07:21.7,8.680132651,38502.43664,282,3/7/2024,10,0,0
Women,Dress,Premium,341.3281293,32.21047539,Dress in Women category,07:21.7,Out of Stock,492,27,27,Supplier_6,07:21.7,32.21047539,15271.39127,66,6/12/2023,24,0,0
Kids,Jacket,Medium,83.51956854,35.28432031,Jacket in Kids category,07:21.7,Available,483,88,25,Supplier_5,07:21.7,35.28432031,21836.30361,404,1/15/2022,2,0,0
Men,Jeans,Premium,392.273621,26.81829209,Jeans in Men category,07:21.7,Out of Stock,336,40,15,Supplier_5,07:21.7,26.81829209,39903.08244,139,1/23/2024,4,0,0
Accessories,Bags,Premium,446.1090799,43.042334,Bags in Accessories category,07:21.7,Available,128,23,10,Supplier_7,07:21.7,43.042334,32523.94492,128,7/20/2022,29,0,0
Kids,Dress,Low,12.66382383,30.68721393,Dress in Kids category,07:21.7,Available,159,18,4,Supplier_4,07:21.7,30.68721393,1158.649684,132,10/19/2022,42,0,0
Kids,Jeans,Premium,456.9022776,32.48236151,Jeans in Kids category,07:21.7,Out of Stock,485,66,4,Supplier_1,07:21.7,32.48236151,43188.54793,140,10/12/2020,42,0,0
Accessories,Jacket,Medium,30.69001306,16.01569883,Jacket in Accessories category,07:21.7,Available,398,99,24,Supplier_10,07:21.7,16.01569883,2809.452437,109,3/21/2024,12,0,0
Kids,Jacket,High,125.8086602,43.16835151,Jacket in Kids category,07:21.7,Out of Stock,335,95,1,Supplier_8,07:21.7,43.16835151,2931.464557,41,1/2/2022,52,0,0
Accessories,Shirt,Premium,238.2462825,25.39528304,Shirt in Accessories category,07:21.7,Available,84,52,1,Supplier_5,07:21.7,25.39528304,14930.40903,84,6/6/2022,23,0,0
Home,Shirt,Medium,31.7077777,6.812512344,Shirt in Home category,07:21.7,Out of Stock,147,55,15,Supplier_4,07:21.7,6.812512344,4343.50917,147,8/22/2021,33,0,0
Men,Shirt,Low,11.28543578,19.35043532,Shirt in Men category,07:21.7,Out of Stock,386,95,10,Supplier_7,07:21.7,19.35043532,2229.905433,245,9/24/2022,38,0,0
Men,Dress,Medium,31.66293018,18.83857994,Dress in Men category,07:21.7,Out of Stock,491,71,21,Supplier_5,07:21.7,18.83857994,12592.06105,490,7/15/2024,29,121,0
Home,Dress,Medium,83.01992457,23.43100453,Dress in Home category,07:21.7,Available,112,98,13,Supplier_9,07:21.7,23.43100453,7119.562496,112,9/4/2021,35,0,0
Men,Dress,Low,24.56103245,43.41205208,Dress in Men category,07:21.7,Out of Stock,345,35,25,Supplier_1,07:21.7,43.41205208,3641.429074,262,9/9/2023,36,86,0
Home,Dress,Low,22.66129071,23.22679309,Dress in Home category,07:21.7,Available,164,34,12,Supplier_7,07:21.7,23.22679309,2853.239135,164,6/2/2021,22,0,0
Home,Bags,Medium,79.82168759,40.57267274,Bags in Home category,07:21.7,Available,448,66,4,Supplier_7,07:21.7,40.57267274,11099.99955,234,5/16/2024,20,0,0
Women,Dress,Premium,446.6718706,33.70925856,Dress in Women category,07:21.7,Out of Stock,91,53,20,Supplier_4,07:21.7,33.70925856,26945.29063,91,11/30/2022,48,0,0
Home,Sneakers,High,168.148116,30.38628351,Sneakers in Home category,07:21.7,Available,220,31,5,Supplier_3,07:21.7,30.38628351,16036.41893,137,1/24/2022,4,0,0
Accessories,Shirt,High,134.4161893,23.339416,Shirt in Accessories category,07:21.7,Available,240,49,6,Supplier_8,07:21.7,23.339416,24730.61657,240,12/5/2021,48,0,0
Home,Bags,High,157.5820242,23.75150572,Bags in Home category,07:21.7,Out of Stock,371,13,29,Supplier_4,07:21.7,23.75150572,36286.48406,302,7/4/2024,27,0,0
Accessories,Jeans,Low,26.76529679,43.08438543,Jeans in Accessories category,07:21.7,Available,50,76,27,Supplier_1,07:21.7,43.08438543,731.2143917,48,1/22/2021,3,0,0
Women,Dress,Medium,99.15842446,20.02196495,Dress in Women category,07:21.7,Available,365,56,15,Supplier_5,07:21.7,20.02196495,8961.46042,113,2/23/2022,8,0,0
Men,Sneakers,High,132.4809683,9.618506065,Sneakers in Men category,07:21.7,Out of Stock,278,94,30,Supplier_5,07:21.7,9.618506065,8381.679485,70,8/21/2022,33,0,0
